project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
bower,v0.6.5,01 Dec 2012,2486,1007,12.6%,2.2%,517,24.6,4.9,360,5,0,0,505,9,13,452,1963,B,22d,14.5%
mongoose,3.8.17,29 Sep 2014,35480,8066,12.6%,9.9%,4911,67.2,4.9,5134,359,11,12,4735,145,9,4855,23865,A,140d,6.3%
brackets,sprint-2,22 Jan 2012,7939,2628,18.9%,30.5%,1824,44.5,4.7,1852,23,0,14,1667,65,17,1579,5266,A,38d,7.8%
brackets,v0.36.0-10998,20 Dec 2013,228288,75374,19.3%,54.1%,42109,127.3,8.6,54487,4673,1,3,36442,4897,138,23327,128311,A,862d,6.0%
mongoose,3.5.16,13 Aug 2013,25450,5516,12.7%,7.3%,3550,59.3,4.5,3690,199,4,6,3419,116,7,3423,17492,A,105d,6.7%
npm,v1.1.64,23 Oct 2012,6927,3101,9.3%,0.0%,4987,38.3,6.7,710,0,0,23,4942,19,18,903,4413,C,109d,25.4%
npm,v1.0.18,19 Jul 2011,8223,3930,10.2%,0.2%,6349,40.9,6.9,930,2,0,57,6259,26,9,1080,5393,C,139d,27.1%
request,v2.28.0,04 Dec 2013,3309,922,4.8%,6.8%,1794,22.0,4.1,168,18,0,0,1768,25,4,326,2089,C,41d,20.2%
npm,v1.4.17,27 Jun 2014,10873,4114,6.8%,4.8%,7430,26.2,5.6,799,47,1,20,7367,39,31,1437,6900,C,163d,24.0%
q,v0.7.1,09 Aug 2011,1922,743,19.9%,26.1%,497,35.4,3.4,477,28,0,13,467,11,4,468,1363,A,11d,9.8%
mongoose,3.8.20,01 Dec 2014,35744,8111,12.6%,9.8%,4917,67.6,4.9,5147,359,11,12,4741,145,9,4889,24022,A,140d,6.3%
coffeescript,0.9.4,21 Sep 2010,6027,3582,0.6%,0.0%,1562,67.6,12.8,35,0,0,0,1521,41,3,1024,6925,B,42d,11.3%
mongoose,2.9.7,07 Jan 2013,18945,4173,9.8%,5.7%,2438,58.0,4.3,2052,101,4,1,2331,87,6,2639,12593,A,75d,6.4%
mongoose,1.3.7,03 Jun 2011,10670,2692,12.9%,5.7%,1255,40.8,2.8,1579,54,2,14,1180,38,14,1651,6598,A,37d,5.6%
brackets,sprint-31a,20 Sep 2013,219948,73854,19.2%,56.2%,40650,130.9,8.7,52386,4631,0,3,35044,4813,132,22614,124407,A,856d,6.2%
mongoose,3.6.12,25 Jun 2013,29501,6514,12.7%,8.3%,4376,63.2,4.7,4302,244,6,7,4223,134,7,3932,19982,A,126d,6.9%
brackets,sprint-3,11 Feb 2012,8732,2813,20.2%,30.1%,1891,46.1,4.7,2212,23,0,0,1706,63,17,1711,5714,A,35d,6.5%
mongoose,2.4.1,02 Dec 2011,15280,3512,11.3%,6.5%,1664,48.1,3.1,1954,87,3,8,1566,63,12,2192,9559,A,60d,6.3%
ember.js,v1.0.0-rc4,27 May 2013,48134,12990,21.6%,5.8%,2533,30.1,3.2,13241,252,0,0,2146,361,92,7026,29639,A,89d,3.0%
npm,v2.6.0,13 Feb 2015,18318,5709,5.1%,10.4%,11834,22.7,5.0,990,123,0,18,11763,45,36,2317,11224,C,257d,22.5%
mongoose,1.7.4,25 Jul 2011,11295,2831,12.7%,5.4%,1304,42.3,2.8,1636,54,2,13,1221,44,14,1742,7007,A,38d,5.5%
mongoose,3.8.24,25 Feb 2015,36003,8169,12.5%,9.8%,4912,68.1,4.9,5163,357,12,12,4735,145,9,4926,24183,A,140d,6.3%
brackets,sprint-34,14 Nov 2013,226824,75062,19.2%,54.5%,41745,127.2,8.6,53958,4662,1,3,36081,4898,138,23188,127477,A,862d,6.1%
source-map,0.1.1,19 Jun 2012,1217,271,32.8%,0.0%,98,12.3,4.3,593,0,1,1,90,5,5,124,671,A,5d 1h,6.8%
npm,v1.1.51,19 Aug 2012,6680,2993,9.1%,0.7%,4803,37.4,6.7,666,2,0,23,4761,16,18,855,4247,C,105d,25.3%
npm,v2.1.14,13 Dec 2014,16740,5360,5.5%,9.1%,10885,23.2,5.1,966,100,0,17,10821,42,36,2114,10297,C,236d,22.6%
mongoose,2.3.7,24 Oct 2011,14281,3291,11.2%,6.8%,1465,47.7,3.1,1795,85,4,8,1371,58,12,2061,8915,A,53d,6.0%
mongoose,2.6.5,24 May 2012,17637,3934,10.7%,7.1%,1911,54.6,3.1,2109,104,4,8,1788,87,9,2459,11136,A,66d,6.0%
ember.js,v1.0.0-rc.6,23 Jun 2013,42174,10242,22.3%,6.6%,2174,23.5,2.3,12110,253,0,0,1904,245,91,6567,26668,A,65d,2.5%
brackets,sprint-1,21 Dec 2011,6271,2183,16.0%,30.7%,1284,52.0,4.0,1198,19,0,12,1167,35,14,1305,4234,A,30d,7.9%
npm,v0.1.9,13 May 2010,2373,1011,10.4%,0.0%,1776,26.6,6.2,275,0,0,34,1725,7,4,306,1509,C,50d,33.8%
less.js,v1.6.2,02 Feb 2014,119280,82415,11.2%,95.9%,48991,584.5,10.4,15007,7946,6,1,46346,2539,10,22066,95084,B,1303d,17.5%
mocha,0.0.1,22 Nov 2011,2724,755,20.4%,67.7%,563,16.1,3.2,699,51,0,0,532,25,10,509,1693,A,13d,7.9%
npm,v2.7.3,16 Mar 2015,19668,5895,5.1%,11.2%,12523,22.6,4.8,1058,136,0,18,12448,49,34,2450,11916,C,271d,22.1%
mongoose,2.4.10,10 Jan 2012,16127,3651,10.8%,6.9%,1743,49.3,3.1,1957,93,2,9,1634,75,12,2283,10071,A,61d,6.1%
bootstrap,v2.1.0,20 Aug 2012,2178,665,10.1%,1.5%,1523,22.9,4.5,246,2,0,0,1476,34,3,329,1313,C,38d,28.1%
ember.js,v1.3.0-beta.3,20 Dec 2013,48182,11712,22.7%,6.0%,2352,26.0,2.3,14111,279,0,0,2033,285,89,7624,30557,A,70d,2.3%
bootstrap,v2.0.4,01 Jun 2012,1946,588,10.6%,1.7%,1333,21.8,4.4,230,2,0,0,1288,33,3,300,1156,C,33d,27.3%
mongoose,3.8.5,23 Jan 2014,34418,7814,12.9%,10.2%,4913,65.7,4.9,5103,359,7,12,4744,142,8,4704,23206,A,139d,6.5%
mongoose,1.1.17,30 Mar 2011,9357,2422,13.8%,5.4%,1230,37.8,2.8,1503,48,3,17,1153,34,14,1494,5762,A,36d,6.3%
brackets,0.30.0-8833,21 Aug 2013,213229,72461,19.2%,57.9%,39196,133.0,8.7,50514,4628,0,3,33776,4653,129,21978,121284,A,844d,6.3%
npm,v2.1.17,25 Dec 2014,17020,5403,5.3%,9.1%,11050,23.1,5.1,962,101,0,17,10986,42,36,2148,10461,C,240d,22.6%
request,v2.45.0,05 Oct 2014,4958,1227,6.5%,15.4%,2418,18.0,3.7,345,59,15,0,2369,26,4,518,3000,B,55d,18.0%
mongoose,2.0.4,29 Aug 2011,12903,3071,11.5%,6.6%,1233,45.8,3.0,1673,76,3,9,1140,57,11,1900,8060,A,41d,5.1%
ember.js,v1.6.0-beta.2,08 Apr 2014,54497,12579,22.6%,5.5%,2591,27.1,2.3,15877,279,0,0,2157,349,91,8098,32972,A,78d,2.3%
source-map,0.1.20,01 Apr 2013,2243,467,17.7%,0.0%,181,18.0,4.6,483,0,2,1,174,4,6,206,1212,A,8d 4h,6.1%
less.js,v2.0.0-b2,26 Oct 2014,17373,8985,10.1%,76.0%,4550,66.6,7.4,1956,156,3,0,4215,297,18,2518,12844,B,132d,12.2%
mongoose,2.3.8,26 Oct 2011,14293,3294,11.2%,6.8%,1468,47.7,3.1,1795,85,4,8,1374,58,12,2062,8926,A,53d,6.0%
mongoose,2.8.3,10 Sep 2012,19044,4197,9.7%,5.9%,2421,51.8,4.3,2051,103,4,1,2315,87,9,2668,12609,A,75d,6.3%
mongoose,3.6.5,15 Apr 2013,28927,6289,12.9%,7.7%,4176,62.3,4.6,4268,234,6,7,4026,131,7,3862,19568,A,122d,6.8%
mongoose,2.9.4,05 Dec 2012,18934,4169,9.8%,5.7%,2434,57.9,4.3,2052,101,4,1,2327,87,6,2636,12584,A,75d,6.4%
mongoose,2.2.4,03 Oct 2011,13325,3146,11.7%,5.6%,1321,45.6,3.0,1762,66,4,9,1227,58,12,1943,8302,A,45d,5.5%
npm,v1.2.26,05 Jun 2013,7389,3281,9.3%,0.0%,5340,40.0,6.7,755,0,0,20,5292,26,20,964,4748,C,117d,25.5%
ember.js,v1.4.0,14 Feb 2014,50357,12116,23.2%,5.9%,2461,26.5,2.3,15184,286,0,0,2120,297,90,7840,31784,A,73d,2.3%
brackets,sprint-35,18 Dec 2013,227359,75115,19.2%,54.3%,41863,127.3,8.6,54113,4663,1,3,36196,4898,138,23203,127662,A,862d,6.1%
mongoose,1.8.0,04 Aug 2011,11397,2846,12.6%,5.1%,1313,42.5,2.8,1643,52,2,13,1230,44,14,1754,7073,A,39d,5.5%
mocha,0.0.3,23 Nov 2011,2797,774,20.6%,73.2%,575,16.1,3.3,726,47,0,0,543,26,10,518,1735,A,13d,7.9%
ember.js,v1.7.0-beta.4,30 Jul 2014,61813,14200,21.1%,5.5%,2958,28.6,2.4,16579,314,4,0,2427,406,99,8840,36964,A,89d,2.3%
mongoose,2.5.9,22 Feb 2012,16936,3772,10.6%,7.3%,1814,52.4,3.1,2003,100,4,8,1692,86,9,2374,10632,A,63d,6.0%
mocha,1.8.1,09 Jan 2013,6740,2048,20.2%,74.0%,1424,25.6,4.6,1707,81,0,0,1367,53,13,1165,4470,A,41d,9.8%
mocha,2.1.0,23 Dec 2014,9241,2954,18.8%,71.3%,1674,28.4,4.8,2139,102,0,0,1604,64,20,1620,6193,A,51d,8.9%
mongoose,1.1.14,28 Mar 2011,9320,2418,13.9%,5.4%,1226,37.8,2.8,1503,48,3,17,1149,34,14,1490,5738,A,36d,6.3%
mongoose,3.5.5,29 Jan 2013,24867,5374,12.8%,7.3%,3413,60.4,4.5,3655,197,4,6,3284,114,7,3345,17073,A,102d,6.6%
source-map,0.1.22,04 Apr 2013,2390,492,16.9%,1.1%,183,18.9,4.7,486,2,2,1,175,5,6,212,1286,A,8d 6h,5.9%
brackets,untagged-71c185fc4eecfb5086d0,06 Dec 2013,227287,75134,19.2%,54.4%,41815,127.3,8.6,54051,4664,1,3,36154,4895,138,23223,127687,A,863d,6.1%
ember.js,v1.9.0,09 Dec 2014,62016,13708,20.2%,6.3%,2440,26.0,2.2,15688,354,11,0,1973,395,100,8935,37483,A,74d,1.9%
mongoose,3.6.10,09 May 2013,29224,6456,12.7%,8.0%,4331,63.9,4.7,4268,240,6,7,4178,134,7,3898,19801,A,125d,6.9%
bootstrap,v2.1.1,04 Sep 2012,2208,669,10.0%,2.6%,1536,23.1,4.5,246,4,0,0,1489,34,3,331,1325,C,38d,27.9%
mongoose,1.1.2,03 Mar 2011,8663,2261,14.4%,5.0%,1167,35.3,2.8,1457,40,3,17,1089,34,14,1386,5322,A,35d,6.5%
less.js,v1.0,22 Apr 2010,1269,634,18.0%,0.0%,360,22.6,5.7,279,0,0,0,336,24,6,179,818,B,9d 7h,12.5%
ember.js,v1.4.0-beta.3,20 Jan 2014,50064,12064,23.2%,5.9%,2448,26.3,2.3,15155,288,0,0,2109,295,90,7779,31596,A,73d,2.4%
mongoose,3.8.22,24 Jan 2015,35868,8141,12.6%,9.8%,4908,67.8,4.9,5151,357,11,12,4732,145,9,4911,24102,A,140d,6.3%
mocha,2.2.0,06 Mar 2015,9931,3197,18.3%,69.9%,1761,28.8,4.8,2229,102,0,0,1675,76,21,1750,6586,A,54d,8.8%
mocha,1.4.2,01 Sep 2012,6042,1736,20.6%,75.4%,1219,22.0,4.2,1571,77,0,0,1167,48,13,1067,3939,A,34d,9.2%
mongoose,4.0.0-rc2,10 Feb 2015,41099,9207,12.1%,12.9%,5009,66.7,4.9,5682,437,21,12,4809,158,13,5643,27270,A,145d,5.7%
less.js,v2.0.0-b3,01 Nov 2014,17375,8970,10.1%,76.1%,4511,65.5,9.7,1954,158,3,0,4181,300,18,2501,12828,B,132d,12.2%
brackets,release-0.43-beta1,26 Aug 2014,250537,79323,19.2%,49.5%,44932,117.5,8.3,59593,4713,0,3,39041,5076,167,25698,139098,A,883d,5.6%
mongoose,1.8.1,10 Aug 2011,11512,2864,12.5%,5.1%,1313,42.7,2.8,1647,52,2,13,1230,44,14,1768,7158,A,39d,5.5%
ember.js,v1.11.0-beta.3,25 Feb 2015,65496,13875,18.3%,7.1%,1896,22.2,2.1,14697,397,0,0,1492,342,115,9317,38853,A,58d,1.4%
source-map,0.1.25,27 Jun 2013,2449,510,16.6%,1.1%,195,19.6,4.8,489,2,2,1,187,5,6,215,1315,A,9d 2h,6.1%
mongoose,1.0.6,03 Feb 2011,6584,1738,15.2%,4.7%,886,28.5,2.9,1184,30,1,9,845,24,14,1049,4049,A,22d,5.4%
mongoose,2.7.4,02 Aug 2012,18590,4101,9.8%,6.4%,2367,50.6,4.2,2031,105,4,1,2260,87,9,2614,12309,A,73d,6.4%
q,v0.8.1,14 Jan 2012,2097,795,19.8%,24.0%,513,34.6,3.3,519,28,0,13,484,8,4,512,1482,A,12d,9.3%
mongoose,2.9.3,10 Nov 2012,19211,4234,9.7%,5.9%,2453,52.3,4.3,2059,103,4,1,2346,87,9,2692,12723,A,75d,6.3%
ember.js,v1.10.0-beta.4,11 Jan 2015,67106,14551,20.7%,6.8%,2483,23.0,2.2,17548,400,2,0,2016,397,123,9356,40001,A,77d,1.8%
q,v0.7.2,11 Oct 2011,1972,752,19.5%,25.6%,497,35.8,3.3,477,28,0,13,467,11,4,480,1385,A,11d,9.6%
less.js,v1.7.5,03 Sep 2014,214284,135349,11.0%,97.6%,75323,773.4,10.7,26552,14933,27,1,70562,4522,10,35023,163009,B,2061d,15.4%
source-map,0.1.23,13 Jun 2013,2430,506,16.6%,1.2%,193,19.5,4.8,485,2,2,1,185,5,6,214,1307,A,9d 1h,6.0%
mongoose,2.7.3,01 Aug 2012,18590,4101,9.8%,6.4%,2367,50.6,4.2,2031,105,4,1,2260,87,9,2614,12309,A,73d,6.4%
source-map,0.1.24,24 Jun 2013,2449,510,16.6%,1.1%,195,19.6,4.8,489,2,2,1,187,5,6,215,1315,A,9d 2h,6.1%
mongoose,2.1.0,01 Sep 2011,12979,3071,11.9%,6.2%,1272,45.2,3.0,1757,72,4,9,1176,59,12,1898,8070,A,42d,5.2%
brackets,sprint-38,14 Apr 2014,240851,77608,19.2%,51.3%,43890,124.6,8.4,57221,4686,0,3,38095,5012,146,24641,134844,A,874d,5.8%
mongoose,3.7.4,30 Sep 2013,33723,7662,13.1%,10.0%,4871,64.4,4.9,5077,344,9,12,4703,139,8,4588,22761,A,138d,6.6%
q,v0.8.0,26 Dec 2011,2095,786,19.9%,24.0%,510,34.2,3.3,519,28,0,13,481,8,4,507,1455,A,12d,9.3%
npm,v1.3.23,03 Jan 2014,8826,3700,8.4%,0.0%,6180,33.9,6.2,808,0,0,21,6128,28,24,1168,5587,C,136d,24.8%
mongoose,2.6.6,06 Jun 2012,17655,3936,10.7%,7.0%,1917,54.7,3.1,2126,104,4,8,1794,87,9,2457,11148,A,66d,6.0%
ember.js,v1.10.0-beta.3,29 Dec 2014,66964,14517,20.8%,6.9%,2481,23.0,2.2,17542,402,2,0,2015,396,122,9341,39918,A,77d,1.8%
mocha,1.0.3,30 Apr 2012,5370,1540,20.4%,72.4%,1053,20.0,4.1,1380,71,0,0,1002,47,13,972,3445,A,28d,8.6%
bower,v1.0.0-alpha.4,11 Jul 2013,7537,1857,8.9%,9.4%,146,29.5,3.8,740,75,0,7,86,21,14,1168,4391,A,2d 3h,0.5%
npm,v0.3.0-9,18 Feb 2011,7123,3167,7.1%,0.0%,5339,34.1,6.4,544,0,0,79,5223,23,11,944,4548,C,119d,26.8%
brackets,release-1.0-beta1,24 Oct 2014,261297,81616,19.2%,47.7%,45995,117.3,8.1,62069,4773,0,3,39986,5166,171,27277,145186,A,875d,5.4%
mongoose,4.0.0-rc3,28 Feb 2015,41258,9232,12.1%,12.8%,4986,66.9,4.8,5694,440,22,12,4785,159,13,5664,27366,A,145d,5.6%
mongoose,3.9.5,10 Nov 2014,38972,8733,12.3%,13.0%,4995,65.2,4.9,5473,438,13,12,4808,153,13,5355,26016,A,143d,5.9%
brackets,untagged-293a2ac7be89eb7a80b8,05 Dec 2013,227287,75134,19.2%,54.4%,41815,127.3,8.6,54051,4664,1,3,36154,4895,138,23223,127687,A,863d,6.1%
bootstrap,v2.2.0,29 Oct 2012,2280,669,9.8%,2.5%,1567,23.1,4.4,249,4,0,0,1520,34,3,332,1361,C,39d,27.7%
mocha,1.9.0,03 Apr 2013,6727,2026,20.2%,74.0%,1310,25.3,4.5,1707,79,0,0,1251,55,13,1155,4461,A,39d,9.5%
mongoose,2.6.7,08 Jun 2012,17679,3940,10.7%,7.0%,1921,54.0,3.1,2128,104,4,8,1798,87,9,2460,11166,A,66d,6.0%
npm,v0.2.0,10 Sep 2010,4229,1861,8.5%,0.0%,3212,29.5,5.9,395,0,0,51,3130,14,6,601,2724,C,68d,26.1%
ember.js,v1.11.0-beta.5,08 Mar 2015,65548,13878,18.3%,7.2%,1894,22.2,2.1,14698,399,0,0,1489,343,115,9323,38894,A,58d,1.4%
mongoose,2.3.0,04 Oct 2011,13349,3151,11.7%,5.5%,1324,45.7,3.0,1763,66,4,9,1230,58,12,1946,8318,A,45d,5.5%
mongoose,2.5.10,06 Mar 2012,17175,3829,10.7%,7.3%,1844,53.2,3.1,2064,102,5,8,1721,86,9,2406,10797,A,63d,6.0%
node-mysql,v2.4.3,25 Aug 2014,9605,1839,3.0%,5.4%,542,10.3,2.7,299,27,27,2,458,53,16,932,7464,A,21d,3.6%
mongoose,1.5.0,27 Jun 2011,10942,2751,12.8%,5.5%,1276,41.7,2.8,1603,54,2,14,1193,43,14,1696,6781,A,37d,5.5%
mongoose,1.4.0,10 Jun 2011,10912,2743,12.8%,5.5%,1273,41.6,2.8,1603,54,2,14,1190,43,14,1690,6762,A,37d,5.5%
mongoose,1.0.7,05 Feb 2011,6630,1751,15.3%,4.7%,897,28.7,2.9,1196,30,1,9,856,24,14,1055,4081,A,22d,5.5%
brackets,release-0.42,31 Jul 2014,249465,79008,19.2%,49.8%,44787,117.7,8.3,59289,4716,0,3,38917,5059,166,25590,138494,A,880d,5.6%
ember.js,v1.0.0-pre.3,17 Jan 2013,58694,17440,24.0%,16.4%,4513,43.6,4.3,18576,404,1,1,3840,634,87,7641,36503,A,150d,4.1%
coffeescript,1.6.0,05 Mar 2013,7066,4759,0.8%,0.0%,3346,86.5,17.2,60,0,0,0,3302,44,3,1124,6407,B,73d,16.7%
mongoose,2.5.0,26 Jan 2012,16169,3632,10.7%,7.0%,1734,52.6,3.1,1935,95,2,9,1622,78,9,2297,10139,A,60d,6.0%
less.js,1.1.5-extend_patch,14 Dec 2011,17561,13941,14.3%,97.0%,8473,284.5,10.0,2922,747,0,0,8076,397,6,3861,14909,C,229d,20.9%
mongoose,2.5.11,15 Mar 2012,17240,3840,10.8%,7.3%,1848,53.3,3.1,2078,104,5,8,1725,86,9,2409,10858,A,64d,5.9%
mongoose,2.3.9,04 Nov 2011,14584,3359,11.1%,6.9%,1534,48.7,3.1,1815,87,4,8,1439,61,12,2093,9105,A,56d,6.2%
mongoose,2.4.2,12 Dec 2011,15570,3560,11.0%,6.8%,1697,47.5,3.1,1930,91,3,8,1588,73,12,2233,9701,A,60d,6.2%
mocha,1.6.0,02 Oct 2012,6315,1891,20.6%,75.9%,1332,23.6,4.4,1642,79,0,0,1279,49,13,1100,4161,A,38d,9.8%
mongoose,1.1.3,04 Mar 2011,8780,2287,14.3%,5.9%,1179,35.7,2.8,1463,48,2,17,1101,35,14,1410,5395,A,35d,6.5%
source-map,0.1.26,15 Jul 2013,2473,512,16.5%,1.1%,195,19.7,4.8,489,2,2,1,187,5,6,216,1328,A,9d 2h,6.0%
npm,v1.4.4,20 Feb 2014,9494,3836,7.9%,1.7%,6633,32.0,6.0,819,13,1,20,6578,31,23,1270,6032,C,146d,24.6%
npm,v0.1.27-12,29 Aug 2010,4142,1840,8.1%,0.6%,3211,29.7,6.1,367,2,0,47,3141,14,5,581,2712,C,69d,26.8%
mocha,1.16.0,19 Dec 2013,7676,2415,20.1%,71.1%,1530,25.7,4.7,1932,114,0,0,1470,56,18,1350,5129,A,46d,9.7%
npm,v1.0.9,02 Jun 2011,7921,3776,9.8%,0.3%,6126,40.6,6.9,860,2,0,57,6036,26,8,1028,5203,C,134d,27.1%
mongoose,3.6.0,18 Mar 2013,27746,6112,13.2%,7.8%,4020,62.4,4.6,4208,228,5,7,3874,128,7,3761,19007,A,118d,6.8%
mongoose,1.1.19,31 Mar 2011,9410,2434,13.8%,5.7%,1234,38.0,2.8,1505,50,3,17,1158,33,14,1501,5795,A,36d,6.3%
mongoose,3.9.3,01 Oct 2014,38014,8555,12.3%,13.0%,4996,65.3,4.9,5307,425,12,12,4811,152,13,5233,25386,A,143d,6.0%
bootstrap,v2.2.1,30 Oct 2012,2280,668,9.8%,2.5%,1567,23.0,4.4,249,4,0,0,1520,34,3,332,1361,C,39d,27.7%
brackets,sprint-17,28 Nov 2012,184656,66168,18.7%,69.5%,31831,162.2,9.5,42397,4653,0,3,27075,4126,78,17974,105356,A,786d,6.8%
brackets,release-1.1-rc1,12 Dec 2014,265146,82472,19.3%,47.4%,46801,116.3,8.1,63533,4780,1,3,40710,5206,178,27661,147230,A,881d,5.3%
brackets,sprint-26,10 Jun 2013,207962,71394,19.1%,59.7%,38235,137.6,8.8,49163,4669,0,3,32941,4546,116,21292,118609,A,837d,6.4%
brackets,release-1.0-rc1,30 Oct 2014,261503,81631,19.2%,47.6%,46012,117.3,8.1,62086,4775,0,3,40002,5167,171,27289,145226,A,875d,5.4%
mongoose,2.9.5,10 Dec 2012,18934,4169,9.8%,5.7%,2434,57.9,4.3,2052,101,4,1,2327,87,6,2636,12584,A,75d,6.4%
mongoose,3.6.11,15 May 2013,29365,6478,12.7%,7.9%,4338,63.5,4.7,4289,240,6,7,4185,134,7,3911,19897,A,125d,6.9%
ember.js,v1.11.0-beta.4,01 Mar 2015,65543,13876,18.3%,7.2%,1894,22.2,2.1,14698,399,0,0,1489,343,115,9321,38890,A,58d,1.4%
coffeescript,0.9.6,07 Dec 2010,5442,3749,0.7%,0.0%,1928,70.7,14.4,36,0,0,0,1879,49,3,949,5493,B,42d,12.6%
mongoose,3.7.2,15 Aug 2013,32373,7361,13.2%,10.0%,4762,65.1,4.9,4916,331,6,10,4605,135,8,4375,21810,A,135d,6.7%
node-mysql,v2.3.1,26 May 2014,8562,1680,3.6%,2.5%,675,10.9,2.6,316,11,31,2,589,51,16,780,6745,A,23d,4.3%
mongoose,3.0.0,07 Aug 2012,21676,4768,12.7%,7.1%,2859,50.7,4.3,3162,153,4,5,2739,101,10,2977,14493,A,87d,6.5%
mongoose,2.5.12,21 Mar 2012,17243,3840,10.8%,7.3%,1848,53.3,3.1,2078,104,5,8,1725,86,9,2409,10860,A,64d,5.9%
mongoose,2.9.0,27 Sep 2012,19196,4230,9.7%,5.9%,2445,52.2,4.3,2053,103,4,1,2339,87,9,2689,12712,A,75d,6.3%
node-mysql,v2.0.0,09 Jan 2014,6035,1380,4.3%,2.8%,538,10.6,2.6,271,9,20,0,468,49,13,615,4569,A,18d,5.0%
request,v2.29.0,06 Dec 2013,3313,925,4.8%,6.8%,1795,22.0,4.1,168,18,0,0,1769,25,4,327,2090,C,41d,20.2%
less.js,v1.3.0,10 Mar 2012,30485,25199,13.4%,96.9%,15705,393.7,10.3,4725,2081,0,0,15066,633,6,6936,26326,C,416d,21.9%
ember.js,sc-v2.0.beta.2,20 Jul 2011,30182,7217,25.5%,6.5%,6869,21.5,2.5,10328,192,0,2,6333,508,72,3665,20242,A,109d,5.8%
mongoose,2.5.1,27 Jan 2012,16262,3645,10.7%,7.6%,1736,52.1,3.1,1939,97,2,9,1624,78,9,2306,10178,A,60d,6.0%
bower,v1.3.9,06 Aug 2014,12758,3058,8.8%,19.6%,247,36.0,3.9,1236,218,3,10,159,42,15,1940,7322,A,5d,0.6%
npm,v1.1.27,17 Jun 2012,6990,3071,8.7%,0.6%,4817,39.9,6.5,668,2,0,24,4773,16,13,880,4250,C,105d,24.2%
less.js,1.1.4-lastest,14 Nov 2011,17480,13904,14.3%,97.6%,8464,295.8,10.0,2917,702,0,0,8067,397,6,3844,14865,C,229d,21.0%
mongoose,3.6.7,19 Apr 2013,28979,6310,12.9%,7.7%,4196,62.5,4.6,4277,234,6,7,4046,131,7,3876,19595,A,122d,6.8%
mongoose,3.9.6,05 Dec 2014,40099,8955,12.2%,13.3%,5036,65.8,4.9,5558,442,22,12,4838,155,13,5478,26691,A,145d,5.8%
source-map,0.1.28,16 Aug 2013,2542,517,16.1%,1.1%,195,19.9,4.8,489,2,2,1,187,5,6,217,1353,A,9d 2h,5.8%
mongoose,3.9.7,19 Dec 2014,40446,9062,12.2%,13.1%,5018,66.1,4.9,5613,436,21,12,4819,157,13,5550,26895,A,144d,5.7%
bootstrap,v2.2.2,08 Dec 2012,2428,692,9.7%,3.7%,1678,23.9,4.3,262,9,0,0,1631,34,3,357,1464,C,42d,27.9%
less.js,v2.2.0,04 Jan 2015,18073,9212,10.1%,74.2%,4593,64.0,9.7,2034,162,3,0,4236,328,18,2559,13255,B,135d,12.0%
mongoose,2.4.3,14 Dec 2011,15626,3562,11.0%,7.0%,1700,47.5,3.1,1935,93,3,8,1591,73,12,2233,9742,A,60d,6.2%
npm,v1.1.0-beta-4,15 Dec 2011,8684,4118,10.0%,0.0%,6488,45.3,7.0,967,0,0,52,6400,29,10,1120,5563,C,141d,26.1%
mongoose,2.3.1,10 Oct 2011,13648,3191,11.5%,6.6%,1331,46.2,3.1,1773,78,4,9,1237,58,12,1982,8464,A,45d,5.3%
npm,v0.2.10-1,29 Nov 2010,5730,2497,8.0%,0.0%,4255,32.9,6.2,497,0,0,69,4150,16,7,775,3628,C,91d,25.5%
npm,v0.2.1,17 Sep 2010,4238,1864,8.5%,0.0%,3215,29.6,5.9,395,0,0,51,3133,14,6,601,2729,C,68d,26.0%
ember.js,v1.10.0,07 Feb 2015,67483,14635,20.6%,6.9%,2495,23.0,2.2,17561,402,2,0,2027,398,125,9403,40200,A,77d,1.8%
source-map,0.1.27,22 Jul 2013,2473,512,16.5%,1.1%,195,19.7,4.8,489,2,2,1,187,5,6,216,1328,A,9d 2h,6.0%
mongoose,3.6.1,27 Mar 2013,27838,6143,13.2%,7.8%,4055,62.7,4.6,4227,228,5,7,3907,130,7,3775,19075,A,118d,6.8%
mongoose,2.1.1,07 Sep 2011,13075,3095,11.8%,5.9%,1285,44.9,3.0,1753,70,4,9,1190,59,12,1913,8133,A,42d,5.2%
mongoose,4.0.0-rc0,30 Jan 2015,40816,9151,12.2%,13.0%,5001,66.8,4.9,5683,437,21,12,4803,156,13,5612,27115,A,145d,5.7%
mocha,1.16.2,23 Dec 2013,7695,2427,20.2%,73.6%,1548,25.8,4.7,1942,100,0,0,1486,58,18,1351,5144,A,46d,9.7%
bower,v0.6.6,03 Dec 2012,2489,1010,12.6%,2.2%,515,24.6,4.9,360,5,0,0,503,9,13,452,1964,B,22d,14.5%
mocha,1.1.0,30 May 2012,5508,1560,20.4%,72.9%,1079,20.0,4.0,1414,73,0,0,1028,47,13,987,3503,A,29d,8.7%
project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
